co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.1,pmx_co,False,700,0.7,rank,2931,100
0.1,pmx_co,False,700,0.9,tournament,3137,100
0.1,pmx_co,False,700,0.9,rank,3080,100
0.1,pmx_co,False,1000,0.1,tournament,2562,100
0.1,pmx_co,False,1000,0.1,rank,1761,100
0.1,pmx_co,False,1000,0.3,tournament,3038,100
0.1,pmx_co,False,1000,0.3,rank,2809,100
0.1,pmx_co,False,1000,0.5,tournament,2917,100
0.1,pmx_co,False,1000,0.5,rank,2936,100
0.1,pmx_co,False,1000,0.7,tournament,3009,100
0.1,pmx_co,False,1000,0.7,rank,2999,100
0.1,pmx_co,False,1000,0.9,tournament,3013,100
0.1,pmx_co,False,1000,0.9,rank,3081,100
0.3,cycle_co,True,100,0.1,tournament,1983,100
0.3,cycle_co,True,100,0.1,rank,1685,100
0.3,cycle_co,True,100,0.3,tournament,1685,100
0.3,cycle_co,True,100,0.3,rank,1665,100
0.3,cycle_co,True,100,0.5,tournament,1661,100
0.3,cycle_co,True,100,0.5,rank,1661,100
0.3,cycle_co,True,100,0.7,tournament,1661,100
0.3,cycle_co,True,100,0.7,rank,1661,100
0.3,cycle_co,True,100,0.9,tournament,1661,100
0.3,cycle_co,True,100,0.9,rank,1661,100
0.3,cycle_co,True,400,0.1,tournament,1492,100
0.3,cycle_co,True,400,0.1,rank,1235,100
0.3,cycle_co,True,400,0.3,tournament,1230,100
0.3,cycle_co,True,400,0.3,rank,1230,100
0.3,cycle_co,True,400,0.5,tournament,1230,100
0.3,cycle_co,True,400,0.5,rank,1230,100
0.3,cycle_co,True,400,0.7,tournament,1230,100
0.3,cycle_co,True,400,0.7,rank,1230,100
0.3,cycle_co,True,400,0.9,tournament,1230,100
0.3,cycle_co,True,400,0.9,rank,1230,100
0.3,cycle_co,True,700,0.1,tournament,1110,100
0.3,cycle_co,True,700,0.1,rank,1053,100
0.3,cycle_co,True,700,0.3,tournament,1042,100
0.3,cycle_co,True,700,0.3,rank,1042,100
0.3,cycle_co,True,700,0.5,tournament,1042,100
0.3,cycle_co,True,700,0.5,rank,1042,100
0.3,cycle_co,True,700,0.7,tournament,1042,100
0.3,cycle_co,True,700,0.7,rank,1042,100
0.3,cycle_co,True,700,0.9,tournament,1042,100
0.3,cycle_co,True,700,0.9,rank,1042,100
0.3,cycle_co,True,1000,0.1,tournament,1041,100
0.3,cycle_co,True,1000,0.1,rank,987,100
0.3,cycle_co,True,1000,0.3,tournament,986,100
0.3,cycle_co,True,1000,0.3,rank,986,100
0.3,cycle_co,True,1000,0.5,tournament,986,100
0.3,cycle_co,True,1000,0.5,rank,986,100
0.3,cycle_co,True,1000,0.7,tournament,986,100
0.3,cycle_co,True,1000,0.7,rank,986,100
0.3,cycle_co,True,1000,0.9,tournament,986,100
0.3,cycle_co,True,1000,0.9,rank,986,100
0.3,cycle_co,False,100,0.1,tournament,1308,100
0.3,cycle_co,False,100,0.1,rank,1247,100
0.3,cycle_co,False,100,0.3,tournament,2168,100
0.3,cycle_co,False,100,0.3,rank,1921,100
0.3,cycle_co,False,100,0.5,tournament,2592,100
0.3,cycle_co,False,100,0.5,rank,2117,100
0.3,cycle_co,False,100,0.7,tournament,2627,100
0.3,cycle_co,False,100,0.7,rank,2513,100
0.3,cycle_co,False,100,0.9,tournament,2844,100
0.3,cycle_co,False,100,0.9,rank,2633,100
0.3,cycle_co,False,400,0.1,tournament,1426,100
0.3,cycle_co,False,400,0.1,rank,1252,100
0.3,cycle_co,False,400,0.3,tournament,2000,100
0.3,cycle_co,False,400,0.3,rank,1606,100
0.3,cycle_co,False,400,0.5,tournament,2396,100
0.3,cycle_co,False,400,0.5,rank,2171,100
0.3,cycle_co,False,400,0.7,tournament,2832,100
0.3,cycle_co,False,400,0.7,rank,2628,100
0.3,cycle_co,False,400,0.9,tournament,2729,100
0.3,cycle_co,False,400,0.9,rank,2769,100
0.3,cycle_co,False,700,0.1,tournament,1311,100
0.3,cycle_co,False,700,0.1,rank,1234,100
0.3,cycle_co,False,700,0.3,tournament,2301,100
0.3,cycle_co,False,700,0.3,rank,1510,100
0.3,cycle_co,False,700,0.5,tournament,2522,100
0.3,cycle_co,False,700,0.5,rank,2010,100
0.3,cycle_co,False,700,0.7,tournament,2641,100
0.3,cycle_co,False,700,0.7,rank,2527,100
0.3,cycle_co,False,700,0.9,tournament,2810,100
0.3,cycle_co,False,700,0.9,rank,2544,100
0.3,cycle_co,False,1000,0.1,tournament,1286,100
0.3,cycle_co,False,1000,0.1,rank,1163,100
0.3,cycle_co,False,1000,0.3,tournament,2180,100
0.3,cycle_co,False,1000,0.3,rank,1462,100
0.3,cycle_co,False,1000,0.5,tournament,2608,100
0.3,cycle_co,False,1000,0.5,rank,2143,100
0.3,cycle_co,False,1000,0.7,tournament,2715,100
0.3,cycle_co,False,1000,0.7,rank,2712,100
0.3,cycle_co,False,1000,0.9,tournament,2711,100
0.3,cycle_co,False,1000,0.9,rank,2791,100
0.3,pmx_co,True,100,0.1,tournament,1951,100
0.3,pmx_co,True,100,0.1,rank,1669,100
0.3,pmx_co,True,100,0.3,tournament,1643,100
0.3,pmx_co,True,100,0.3,rank,1643,100
0.3,pmx_co,True,100,0.5,tournament,1643,100
0.3,pmx_co,True,100,0.5,rank,1643,100
0.3,pmx_co,True,100,0.7,tournament,1643,100
0.3,pmx_co,True,100,0.7,rank,1643,100
0.3,pmx_co,True,100,0.9,tournament,1643,100
0.3,pmx_co,True,100,0.9,rank,1643,100
0.3,pmx_co,True,400,0.1,tournament,1400,100
0.3,pmx_co,True,400,0.1,rank,1156,100
0.3,pmx_co,True,400,0.3,tournament,1152,100
0.3,pmx_co,True,400,0.3,rank,1152,100
0.3,pmx_co,True,400,0.5,tournament,1152,100
0.3,pmx_co,True,400,0.5,rank,1152,100
0.3,pmx_co,True,400,0.7,tournament,1152,100
0.3,pmx_co,True,400,0.7,rank,1152,100
0.3,pmx_co,True,400,0.9,tournament,1152,100
0.3,pmx_co,True,400,0.9,rank,1152,100
0.3,pmx_co,True,700,0.1,tournament,1019,100
0.3,pmx_co,True,700,0.1,rank,972,100
0.3,pmx_co,True,700,0.3,tournament,972,100
0.3,pmx_co,True,700,0.3,rank,972,100
0.3,pmx_co,True,700,0.5,tournament,972,100
0.3,pmx_co,True,700,0.5,rank,972,100
0.3,pmx_co,True,700,0.7,tournament,972,100
0.3,pmx_co,True,700,0.7,rank,972,100
0.3,pmx_co,True,700,0.9,tournament,972,100
0.3,pmx_co,True,700,0.9,rank,972,100
0.3,pmx_co,True,1000,0.1,tournament,972,100
0.3,pmx_co,True,1000,0.1,rank,956,100
0.3,pmx_co,True,1000,0.3,tournament,950,100
0.3,pmx_co,True,1000,0.3,rank,950,100
0.3,pmx_co,True,1000,0.5,tournament,950,100
0.3,pmx_co,True,1000,0.5,rank,950,100
0.3,pmx_co,True,1000,0.7,tournament,950,100
0.3,pmx_co,True,1000,0.7,rank,950,100
0.3,pmx_co,True,1000,0.9,tournament,950,100
0.3,pmx_co,True,1000,0.9,rank,950,100
0.3,pmx_co,False,100,0.1,tournament,1067,100
0.3,pmx_co,False,100,0.1,rank,1058,100
0.3,pmx_co,False,100,0.3,tournament,2151,100
0.3,pmx_co,False,100,0.3,rank,2030,100
0.3,pmx_co,False,100,0.5,tournament,2481,100
0.3,pmx_co,False,100,0.5,rank,2589,100
0.3,pmx_co,False,100,0.7,tournament,2544,100
0.3,pmx_co,False,100,0.7,rank,2678,100
0.3,pmx_co,False,100,0.9,tournament,2747,100
0.3,pmx_co,False,100,0.9,rank,2848,100
0.3,pmx_co,False,400,0.1,tournament,1540,100
0.3,pmx_co,False,400,0.1,rank,1225,100
0.3,pmx_co,False,400,0.3,tournament,2012,100
0.3,pmx_co,False,400,0.3,rank,1915,100
0.3,pmx_co,False,400,0.5,tournament,2464,100
0.3,pmx_co,False,400,0.5,rank,2578,100
0.3,pmx_co,False,400,0.7,tournament,2587,100
0.3,pmx_co,False,400,0.7,rank,2795,100
0.3,pmx_co,False,400,0.9,tournament,2759,100
0.3,pmx_co,False,400,0.9,rank,2761,100
0.3,pmx_co,False,700,0.1,tournament,1208,100
0.3,pmx_co,False,700,0.1,rank,1088,100
0.3,pmx_co,False,700,0.3,tournament,2096,100
0.3,pmx_co,False,700,0.3,rank,1777,100
0.3,pmx_co,False,700,0.5,tournament,2155,100
0.3,pmx_co,False,700,0.5,rank,2440,100
0.3,pmx_co,False,700,0.7,tournament,2710,100
0.3,pmx_co,False,700,0.7,rank,2827,100
0.3,pmx_co,False,700,0.9,tournament,2803,100
0.3,pmx_co,False,700,0.9,rank,2841,100
0.3,pmx_co,False,1000,0.1,tournament,1263,100
0.3,pmx_co,False,1000,0.1,rank,1100,100
0.3,pmx_co,False,1000,0.3,tournament,2239,100
0.3,pmx_co,False,1000,0.3,rank,1904,100
0.3,pmx_co,False,1000,0.5,tournament,2517,100
0.3,pmx_co,False,1000,0.5,rank,2543,100
0.3,pmx_co,False,1000,0.7,tournament,2810,100
0.3,pmx_co,False,1000,0.7,rank,2788,100
0.3,pmx_co,False,1000,0.9,tournament,2830,100
0.3,pmx_co,False,1000,0.9,rank,2836,100
0.5,cycle_co,True,100,0.1,tournament,1866,100
0.5,cycle_co,True,100,0.1,rank,1645,100
0.5,cycle_co,True,100,0.3,tournament,1467,100
0.5,cycle_co,True,100,0.3,rank,1374,100
0.5,cycle_co,True,100,0.5,tournament,1343,100
0.5,cycle_co,True,100,0.5,rank,1343,100
0.5,cycle_co,True,100,0.7,tournament,1343,100
0.5,cycle_co,True,100,0.7,rank,1343,100
0.5,cycle_co,True,100,0.9,tournament,1343,100
0.5,cycle_co,True,100,0.9,rank,1343,100
0.5,cycle_co,True,400,0.1,tournament,1228,100
0.5,cycle_co,True,400,0.1,rank,1109,100
0.5,cycle_co,True,400,0.3,tournament,1009,100
0.5,cycle_co,True,400,0.3,rank,991,100
0.5,cycle_co,True,400,0.5,tournament,991,100
0.5,cycle_co,True,400,0.5,rank,991,100
0.5,cycle_co,True,400,0.7,tournament,991,100
0.5,cycle_co,True,400,0.7,rank,991,100
0.5,cycle_co,True,400,0.9,tournament,991,100
0.5,cycle_co,True,400,0.9,rank,991,100
0.5,cycle_co,True,700,0.1,tournament,991,100
0.5,cycle_co,True,700,0.1,rank,950,100
0.5,cycle_co,True,700,0.3,tournament,898,100
0.5,cycle_co,True,700,0.3,rank,890,100
0.5,cycle_co,True,700,0.5,tournament,890,100
0.5,cycle_co,True,700,0.5,rank,890,100
0.5,cycle_co,True,700,0.7,tournament,890,100
0.5,cycle_co,True,700,0.7,rank,890,100
0.5,cycle_co,True,700,0.9,tournament,890,100
0.5,cycle_co,True,700,0.9,rank,890,100
0.5,cycle_co,True,1000,0.1,tournament,890,100
0.5,cycle_co,True,1000,0.1,rank,890,100
0.5,cycle_co,True,1000,0.3,tournament,890,100
0.5,cycle_co,True,1000,0.3,rank,890,100
0.5,cycle_co,True,1000,0.5,tournament,890,100
0.5,cycle_co,True,1000,0.5,rank,890,100
0.5,cycle_co,True,1000,0.7,tournament,890,100
0.5,cycle_co,True,1000,0.7,rank,890,100
0.5,cycle_co,True,1000,0.9,tournament,890,100
0.5,cycle_co,True,1000,0.9,rank,890,100
0.5,cycle_co,False,100,0.1,tournament,1219,100
0.5,cycle_co,False,100,0.1,rank,1102,100
0.5,cycle_co,False,100,0.3,tournament,1021,100
0.5,cycle_co,False,100,0.3,rank,1015,100
0.5,cycle_co,False,100,0.5,tournament,1326,100
0.5,cycle_co,False,100,0.5,rank,1352,100
0.5,cycle_co,False,100,0.7,tournament,1982,100
0.5,cycle_co,False,100,0.7,rank,1928,100
