co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.3,cycle_co,True,700,0.9,rank,11055,100
0.3,cycle_co,True,1000,0.1,tournament,10494,100
0.3,cycle_co,True,1000,0.1,rank,9870,100
0.3,cycle_co,True,1000,0.3,tournament,9870,100
0.3,cycle_co,True,1000,0.3,rank,9870,100
0.3,cycle_co,True,1000,0.5,tournament,9870,100
0.3,cycle_co,True,1000,0.5,rank,9870,100
0.3,cycle_co,True,1000,0.7,tournament,9870,100
0.3,cycle_co,True,1000,0.7,rank,9870,100
0.3,cycle_co,True,1000,0.9,tournament,9870,100
0.3,cycle_co,True,1000,0.9,rank,9870,100
0.3,cycle_co,False,100,0.1,tournament,10375,100
0.3,cycle_co,False,100,0.1,rank,10259,100
0.3,cycle_co,False,100,0.3,tournament,13856,100
0.3,cycle_co,False,100,0.3,rank,13427,100
0.3,cycle_co,False,100,0.5,tournament,21734,100
0.3,cycle_co,False,100,0.5,rank,19275,100
0.3,cycle_co,False,100,0.7,tournament,24426,100
0.3,cycle_co,False,100,0.7,rank,21904,100
0.3,cycle_co,False,100,0.9,tournament,26016,100
0.3,cycle_co,False,100,0.9,rank,24834,100
0.3,cycle_co,False,400,0.1,tournament,15627,100
0.3,cycle_co,False,400,0.1,rank,13813,100
0.3,cycle_co,False,400,0.3,tournament,20133,100
0.3,cycle_co,False,400,0.3,rank,15827,100
0.3,cycle_co,False,400,0.5,tournament,22381,100
0.3,cycle_co,False,400,0.5,rank,19535,100
0.3,cycle_co,False,400,0.7,tournament,26547,100
0.3,cycle_co,False,400,0.7,rank,20539,100
0.3,cycle_co,False,400,0.9,tournament,26313,100
0.3,cycle_co,False,400,0.9,rank,23394,100
0.3,cycle_co,False,700,0.1,tournament,13977,100
0.3,cycle_co,False,700,0.1,rank,12243,100
0.3,cycle_co,False,700,0.3,tournament,19938,100
0.3,cycle_co,False,700,0.3,rank,15536,100
0.3,cycle_co,False,700,0.5,tournament,22992,100
0.3,cycle_co,False,700,0.5,rank,18555,100
0.3,cycle_co,False,700,0.7,tournament,25603,100
0.3,cycle_co,False,700,0.7,rank,20305,100
0.3,cycle_co,False,700,0.9,tournament,26500,100
0.3,cycle_co,False,700,0.9,rank,23098,100
0.3,cycle_co,False,1000,0.1,tournament,12503,100
0.3,cycle_co,False,1000,0.1,rank,10619,100
0.3,cycle_co,False,1000,0.3,tournament,19361,100
0.3,cycle_co,False,1000,0.3,rank,14045,100
0.3,cycle_co,False,1000,0.5,tournament,23919,100
0.3,cycle_co,False,1000,0.5,rank,17652,100
0.3,cycle_co,False,1000,0.7,tournament,24897,100
0.3,cycle_co,False,1000,0.7,rank,20910,100
0.3,cycle_co,False,1000,0.9,tournament,26759,100
0.3,cycle_co,False,1000,0.9,rank,23458,100
0.3,pmx_co,True,100,0.1,tournament,18628,100
0.3,pmx_co,True,100,0.1,rank,16802,100
0.3,pmx_co,True,100,0.3,tournament,16647,100
0.3,pmx_co,True,100,0.3,rank,16647,100
0.3,pmx_co,True,100,0.5,tournament,16647,100
0.3,pmx_co,True,100,0.5,rank,16647,100
0.3,pmx_co,True,100,0.7,tournament,16647,100
0.3,pmx_co,True,100,0.7,rank,16647,100
0.3,pmx_co,True,100,0.9,tournament,16647,100
0.3,pmx_co,True,100,0.9,rank,16647,100
0.3,pmx_co,True,400,0.1,tournament,13887,100
0.3,pmx_co,True,400,0.1,rank,12306,100
0.3,pmx_co,True,400,0.3,tournament,12146,100
0.3,pmx_co,True,400,0.3,rank,12146,100
0.3,pmx_co,True,400,0.5,tournament,12146,100
0.3,pmx_co,True,400,0.5,rank,12146,100
0.3,pmx_co,True,400,0.7,tournament,12146,100
0.3,pmx_co,True,400,0.7,rank,12146,100
0.3,pmx_co,True,400,0.9,tournament,12146,100
0.3,pmx_co,True,400,0.9,rank,12146,100
0.3,pmx_co,True,700,0.1,tournament,10564,100
0.3,pmx_co,True,700,0.1,rank,9533,100
0.3,pmx_co,True,700,0.3,tournament,9516,100
0.3,pmx_co,True,700,0.3,rank,9516,100
0.3,pmx_co,True,700,0.5,tournament,9516,100
0.3,pmx_co,True,700,0.5,rank,9516,100
0.3,pmx_co,True,700,0.7,tournament,9516,100
0.3,pmx_co,True,700,0.7,rank,9516,100
0.3,pmx_co,True,700,0.9,tournament,9516,100
0.3,pmx_co,True,700,0.9,rank,9516,100
0.3,pmx_co,True,1000,0.1,tournament,8654,100
0.3,pmx_co,True,1000,0.1,rank,8188,100
0.3,pmx_co,True,1000,0.3,tournament,8172,100
0.3,pmx_co,True,1000,0.3,rank,8172,100
0.3,pmx_co,True,1000,0.5,tournament,8172,100
0.3,pmx_co,True,1000,0.5,rank,8172,100
0.3,pmx_co,True,1000,0.7,tournament,8172,100
0.3,pmx_co,True,1000,0.7,rank,8172,100
0.3,pmx_co,True,1000,0.9,tournament,8172,100
0.3,pmx_co,True,1000,0.9,rank,8172,100
0.3,pmx_co,False,100,0.1,tournament,9276,100
0.3,pmx_co,False,100,0.1,rank,9113,100
0.3,pmx_co,False,100,0.3,tournament,12416,100
0.3,pmx_co,False,100,0.3,rank,12700,100
0.3,pmx_co,False,100,0.5,tournament,21248,100
0.3,pmx_co,False,100,0.5,rank,21647,100
0.3,pmx_co,False,100,0.7,tournament,24871,100
0.3,pmx_co,False,100,0.7,rank,25851,100
0.3,pmx_co,False,100,0.9,tournament,27592,100
0.3,pmx_co,False,100,0.9,rank,27864,100
0.3,pmx_co,False,400,0.1,tournament,16976,100
0.3,pmx_co,False,400,0.1,rank,14702,100
0.3,pmx_co,False,400,0.3,tournament,18241,100
0.3,pmx_co,False,400,0.3,rank,15988,100
0.3,pmx_co,False,400,0.5,tournament,23234,100
0.3,pmx_co,False,400,0.5,rank,23554,100
0.3,pmx_co,False,400,0.7,tournament,23707,100
0.3,pmx_co,False,400,0.7,rank,24702,100
0.3,pmx_co,False,400,0.9,tournament,25890,100
0.3,pmx_co,False,400,0.9,rank,27650,100
0.3,pmx_co,False,700,0.1,tournament,13521,100
0.3,pmx_co,False,700,0.1,rank,11757,100
0.3,pmx_co,False,700,0.3,tournament,18018,100
0.3,pmx_co,False,700,0.3,rank,15197,100
0.3,pmx_co,False,700,0.5,tournament,24962,100
0.3,pmx_co,False,700,0.5,rank,21537,100
0.3,pmx_co,False,700,0.7,tournament,25115,100
0.3,pmx_co,False,700,0.7,rank,25176,100
0.3,pmx_co,False,700,0.9,tournament,26158,100
0.3,pmx_co,False,700,0.9,rank,27840,100
0.3,pmx_co,False,1000,0.1,tournament,13427,100
0.3,pmx_co,False,1000,0.1,rank,11227,100
0.3,pmx_co,False,1000,0.3,tournament,19696,100
0.3,pmx_co,False,1000,0.3,rank,16536,100
0.3,pmx_co,False,1000,0.5,tournament,23059,100
0.3,pmx_co,False,1000,0.5,rank,21890,100
0.3,pmx_co,False,1000,0.7,tournament,25470,100
0.3,pmx_co,False,1000,0.7,rank,23679,100
0.3,pmx_co,False,1000,0.9,tournament,27741,100
0.3,pmx_co,False,1000,0.9,rank,27224,100
0.5,cycle_co,True,100,0.1,tournament,21004,100
0.5,cycle_co,True,100,0.1,rank,19341,100
0.5,cycle_co,True,100,0.3,tournament,16251,100
0.5,cycle_co,True,100,0.3,rank,14803,100
0.5,cycle_co,True,100,0.5,tournament,14573,100
0.5,cycle_co,True,100,0.5,rank,13749,100
0.5,cycle_co,True,100,0.7,tournament,13692,100
0.5,cycle_co,True,100,0.7,rank,13692,100
0.5,cycle_co,True,100,0.9,tournament,13692,100
0.5,cycle_co,True,100,0.9,rank,13692,100
0.5,cycle_co,True,400,0.1,tournament,12711,100
0.5,cycle_co,True,400,0.1,rank,11419,100
0.5,cycle_co,True,400,0.3,tournament,10639,100
0.5,cycle_co,True,400,0.3,rank,10155,100
0.5,cycle_co,True,400,0.5,tournament,10137,100
0.5,cycle_co,True,400,0.5,rank,10137,100
0.5,cycle_co,True,400,0.7,tournament,10137,100
0.5,cycle_co,True,400,0.7,rank,10137,100
0.5,cycle_co,True,400,0.9,tournament,10137,100
0.5,cycle_co,True,400,0.9,rank,10137,100
0.5,cycle_co,True,700,0.1,tournament,10137,100
0.5,cycle_co,True,700,0.1,rank,9071,100
0.5,cycle_co,True,700,0.3,tournament,8337,100
0.5,cycle_co,True,700,0.3,rank,8030,100
0.5,cycle_co,True,700,0.5,tournament,8026,100
0.5,cycle_co,True,700,0.5,rank,8026,100
0.5,cycle_co,True,700,0.7,tournament,8026,100
0.5,cycle_co,True,700,0.7,rank,8026,100
0.5,cycle_co,True,700,0.9,tournament,8026,100
0.5,cycle_co,True,700,0.9,rank,8026,100
0.5,cycle_co,True,1000,0.1,tournament,8026,100
0.5,cycle_co,True,1000,0.1,rank,7931,100
0.5,cycle_co,True,1000,0.3,tournament,7490,100
0.5,cycle_co,True,1000,0.3,rank,7339,100
0.5,cycle_co,True,1000,0.5,tournament,7339,100
0.5,cycle_co,True,1000,0.5,rank,7339,100
0.5,cycle_co,True,1000,0.7,tournament,7339,100
0.5,cycle_co,True,1000,0.7,rank,7339,100
0.5,cycle_co,True,1000,0.9,tournament,7339,100
0.5,cycle_co,True,1000,0.9,rank,7339,100
0.5,cycle_co,False,100,0.1,tournament,7899,100
0.5,cycle_co,False,100,0.1,rank,7885,100
0.5,cycle_co,False,100,0.3,tournament,7714,100
0.5,cycle_co,False,100,0.3,rank,7685,100
0.5,cycle_co,False,100,0.5,tournament,10712,100
0.5,cycle_co,False,100,0.5,rank,10827,100
0.5,cycle_co,False,100,0.7,tournament,13804,100
0.5,cycle_co,False,100,0.7,rank,13269,100
0.5,cycle_co,False,100,0.9,tournament,18307,100
0.5,cycle_co,False,100,0.9,rank,17433,100
0.5,cycle_co,False,400,0.1,tournament,12342,100
0.5,cycle_co,False,400,0.1,rank,11071,100
0.5,cycle_co,False,400,0.3,tournament,9969,100
0.5,cycle_co,False,400,0.3,rank,9680,100
