co_p,crossover,elitism,gens,mu_p,select,fitness,popsize
0.3,pmx_co,False,100,0.7,tournament,22347,100
0.3,pmx_co,False,100,0.7,rank,21254,100
0.3,pmx_co,False,100,0.9,tournament,23218,100
0.3,pmx_co,False,100,0.9,rank,25311,100
0.3,pmx_co,False,400,0.1,tournament,11828,100
0.3,pmx_co,False,400,0.1,rank,11452,100
0.3,pmx_co,False,400,0.3,tournament,16519,100
0.3,pmx_co,False,400,0.3,rank,14411,100
0.3,pmx_co,False,400,0.5,tournament,20797,100
0.3,pmx_co,False,400,0.5,rank,20566,100
0.3,pmx_co,False,400,0.7,tournament,21688,100
0.3,pmx_co,False,400,0.7,rank,23749,100
0.3,pmx_co,False,400,0.9,tournament,25265,100
0.3,pmx_co,False,400,0.9,rank,24364,100
0.3,pmx_co,False,700,0.1,tournament,10072,100
0.3,pmx_co,False,700,0.1,rank,9966,100
0.3,pmx_co,False,700,0.3,tournament,16600,100
0.3,pmx_co,False,700,0.3,rank,16044,100
0.3,pmx_co,False,700,0.5,tournament,21881,100
0.3,pmx_co,False,700,0.5,rank,21600,100
0.3,pmx_co,False,700,0.7,tournament,21794,100
0.3,pmx_co,False,700,0.7,rank,22114,100
0.3,pmx_co,False,700,0.9,tournament,23456,100
0.3,pmx_co,False,700,0.9,rank,23132,100
0.3,pmx_co,False,1000,0.1,tournament,11415,100
0.3,pmx_co,False,1000,0.1,rank,11008,100
0.3,pmx_co,False,1000,0.3,tournament,20743,100
0.3,pmx_co,False,1000,0.3,rank,17789,100
0.3,pmx_co,False,1000,0.5,tournament,20466,100
0.3,pmx_co,False,1000,0.5,rank,21306,100
0.3,pmx_co,False,1000,0.7,tournament,23187,100
0.3,pmx_co,False,1000,0.7,rank,23794,100
0.3,pmx_co,False,1000,0.9,tournament,25027,100
0.3,pmx_co,False,1000,0.9,rank,22815,100
0.5,cycle_co,True,100,0.1,tournament,14455,100
0.5,cycle_co,True,100,0.1,rank,12031,100
0.5,cycle_co,True,100,0.3,tournament,10803,100
0.5,cycle_co,True,100,0.3,rank,10683,100
0.5,cycle_co,True,100,0.5,tournament,10460,100
0.5,cycle_co,True,100,0.5,rank,10460,100
0.5,cycle_co,True,100,0.7,tournament,10460,100
0.5,cycle_co,True,100,0.7,rank,10460,100
0.5,cycle_co,True,100,0.9,tournament,10460,100
0.5,cycle_co,True,100,0.9,rank,10460,100
0.5,cycle_co,True,400,0.1,tournament,10460,100
0.5,cycle_co,True,400,0.1,rank,10010,100
0.5,cycle_co,True,400,0.3,tournament,9900,100
0.5,cycle_co,True,400,0.3,rank,9900,100
0.5,cycle_co,True,400,0.5,tournament,9900,100
0.5,cycle_co,True,400,0.5,rank,9900,100
0.5,cycle_co,True,400,0.7,tournament,9900,100
0.5,cycle_co,True,400,0.7,rank,9900,100
0.5,cycle_co,True,400,0.9,tournament,9900,100
0.5,cycle_co,True,400,0.9,rank,9900,100
0.5,cycle_co,True,700,0.1,tournament,9509,100
0.5,cycle_co,True,700,0.1,rank,9509,100
0.5,cycle_co,True,700,0.3,tournament,9509,100
0.5,cycle_co,True,700,0.3,rank,9509,100
0.5,cycle_co,True,700,0.5,tournament,9509,100
0.5,cycle_co,True,700,0.5,rank,9509,100
0.5,cycle_co,True,700,0.7,tournament,9509,100
0.5,cycle_co,True,700,0.7,rank,9509,100
0.5,cycle_co,True,700,0.9,tournament,9509,100
0.5,cycle_co,True,700,0.9,rank,9509,100
0.5,cycle_co,True,1000,0.1,tournament,9229,100
0.5,cycle_co,True,1000,0.1,rank,9022,100
0.5,cycle_co,True,1000,0.3,tournament,9022,100
0.5,cycle_co,True,1000,0.3,rank,8971,100
0.5,cycle_co,True,1000,0.5,tournament,8971,100
0.5,cycle_co,True,1000,0.5,rank,8971,100
0.5,cycle_co,True,1000,0.7,tournament,8971,100
0.5,cycle_co,True,1000,0.7,rank,8971,100
0.5,cycle_co,True,1000,0.9,tournament,8971,100
0.5,cycle_co,True,1000,0.9,rank,8971,100
0.5,cycle_co,False,100,0.1,tournament,9944,100
0.5,cycle_co,False,100,0.1,rank,9653,100
0.5,cycle_co,False,100,0.3,tournament,9309,100
0.5,cycle_co,False,100,0.3,rank,9309,100
0.5,cycle_co,False,100,0.5,tournament,12112,100
0.5,cycle_co,False,100,0.5,rank,12090,100
0.5,cycle_co,False,100,0.7,tournament,17997,100
0.5,cycle_co,False,100,0.7,rank,17338,100
0.5,cycle_co,False,100,0.9,tournament,21152,100
0.5,cycle_co,False,100,0.9,rank,19584,100
0.5,cycle_co,False,400,0.1,tournament,10750,100
0.5,cycle_co,False,400,0.1,rank,10695,100
0.5,cycle_co,False,400,0.3,tournament,10695,100
0.5,cycle_co,False,400,0.3,rank,10785,100
0.5,cycle_co,False,400,0.5,tournament,15184,100
0.5,cycle_co,False,400,0.5,rank,14604,100
0.5,cycle_co,False,400,0.7,tournament,17282,100
0.5,cycle_co,False,400,0.7,rank,16714,100
0.5,cycle_co,False,400,0.9,tournament,18652,100
0.5,cycle_co,False,400,0.9,rank,19571,100
0.5,cycle_co,False,700,0.1,tournament,9848,100
0.5,cycle_co,False,700,0.1,rank,9823,100
0.5,cycle_co,False,700,0.3,tournament,9823,100
0.5,cycle_co,False,700,0.3,rank,9847,100
0.5,cycle_co,False,700,0.5,tournament,12499,100
0.5,cycle_co,False,700,0.5,rank,13067,100
0.5,cycle_co,False,700,0.7,tournament,18360,100
0.5,cycle_co,False,700,0.7,rank,17822,100
0.5,cycle_co,False,700,0.9,tournament,19394,100
0.5,cycle_co,False,700,0.9,rank,19818,100
0.5,cycle_co,False,1000,0.1,tournament,9787,100
0.5,cycle_co,False,1000,0.1,rank,9787,100
0.5,cycle_co,False,1000,0.3,tournament,9787,100
0.5,cycle_co,False,1000,0.3,rank,9832,100
0.5,cycle_co,False,1000,0.5,tournament,11804,100
0.5,cycle_co,False,1000,0.5,rank,13996,100
0.5,cycle_co,False,1000,0.7,tournament,15902,100
0.5,cycle_co,False,1000,0.7,rank,15428,100
0.5,cycle_co,False,1000,0.9,tournament,17874,100
0.5,cycle_co,False,1000,0.9,rank,19331,100
0.5,pmx_co,True,100,0.1,tournament,12789,100
0.5,pmx_co,True,100,0.1,rank,10987,100
0.5,pmx_co,True,100,0.3,tournament,9906,100
0.5,pmx_co,True,100,0.3,rank,9794,100
0.5,pmx_co,True,100,0.5,tournament,9794,100
0.5,pmx_co,True,100,0.5,rank,9794,100
0.5,pmx_co,True,100,0.7,tournament,9794,100
0.5,pmx_co,True,100,0.7,rank,9794,100
0.5,pmx_co,True,100,0.9,tournament,9794,100
